USER,TOURNAMENT,PICK,EARNINGS
sportsrgood55 (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
sportsrgood55 (1),Cognizant Classic,R. Neergaard-Petersen,31776
sportsrgood55 (1),The Genesis Invitational,R. McIlroy,1800000
sportsrgood55 (1),AT&T Pebble Beach Pro-Am,J. Rose,78375
sportsrgood55 (1),WM Phoenix Open,M. McNealy,188000
sportsrgood55 (1),Masters Tournament,X. Schauffele,700000
sportsrgood55 (1),Valero Texas Open,J. Spieth,21364
sportsrgood55 (1),Texas Children's Houston Open,C. Gotterup,322988
sportsrgood55 (1),Valspar Championship,J. Bridgeman,161525
thehun73 (1),The Players Championship,S. Scheffler,301389
thehun73 (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
thehun73 (1),Cognizant Classic,S. Lowry,726400
thehun73 (1),The Genesis Invitational,H. Matsuyama,136500
thehun73 (1),AT&T Pebble Beach Pro-Am,J. Rose,78375
thehun73 (1),WM Phoenix Open,M. McNealy,188000
thehun73 (1),Masters Tournament,R. McIlroy,5000000
thehun73 (1),Valero Texas Open,S. Straka,-50000
thehun73 (1),Texas Children's Houston Open,C. Gotterup,322988
thehun73 (1),Valspar Championship,V. Hovland,-50000
themeats1 (1),The Players Championship,V. Hovland,454476
themeats1 (1),Arnold Palmer Invitational presented by Mastercard,S. Scheffler,157000
themeats1 (1),Cognizant Classic,N. Hojgaard,324000
themeats1 (1),The Genesis Invitational,R. McIlroy,1800000
themeats1 (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
themeats1 (1),WM Phoenix Open,H. Matsuyama,1046400
themeats1 (1),Masters Tournament,M. Fitzpatrick,350000
themeats1 (1),Valero Texas Open,R. MacIntyre,741533
themeats1 (1),Texas Children's Houston Open,K. Kitayama,21879
themeats1 (1),Valspar Championship,J. Bridgeman,161525
tsmiller3 (1),The Players Championship,C. Young,5000000
tsmiller3 (1),Arnold Palmer Invitational presented by Mastercard,M. Fitzpatrick,78000
tsmiller3 (1),Cognizant Classic,K. Mitchell,324000
tsmiller3 (1),The Genesis Invitational,T. Fleetwood,603200
tsmiller3 (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
tsmiller3 (1),WM Phoenix Open,S. Woo Kim,439680
tsmiller3 (1),Masters Tournament,S. Scheffler,2700000
tsmiller3 (1),Valero Texas Open,R. MacIntyre,741533
tsmiller3 (1),Texas Children's Houston Open,B. Koepka,-50000
tsmiller3 (1),Valspar Championship,J. Thomas,51142
twoladsandanape (1),The Players Championship,L. Aberg,1027778
